1.066,0.35
1.067,0.323
1.058,0.307
1.069,0.274
1.09,0.224
1.097,0.236
1.1,0.23
1.102,0.236
1.091,0.247
1.097,0.209
1.116,0.187
1.14,0.158
1.154,0.147
1.139,0.172
1.135,0.196
1.14,0.209
1.134,0.21
1.132,0.195
1.121,0.16
1.134,0.122
1.132,0.1
1.107,0.091
1.092,0.106
1.073,0.135
1.09,0.155
1.092,0.179
1.082,0.173
1.07,0.17
1.055,0.142
1.06,0.128
1.063,0.108
1.056,0.09
1.058,0.08
1.054,0.068
1.056,0.061
1.053,0.057
1.056,0.052
1.06,0.047
1.058,0.045
1.05,0.093
1.054,0.113
1.078,0.106
1.077,0.093
1.074,0.089
1.083,0.092
1.097,0.089
1.096,0.128
1.088,0.152
1.087,0.164
1.082,0.189
1.08,0.236
1.092,0.252
1.106,0.268
1.099,0.288
1.082,0.33
1.08,0.355
1.078,0.376
1.074,0.42
1.07,0.458
1.069,0.458
1.072,0.458
1.088,0.46
1.086,0.467
1.082,0.467
1.067,0.506
1.07,0.533
1.071,0.559
1.063,0.563
1.057,0.585
1.047,0.585
1.047,0.596
1.056,0.582
1.051,0.571
1.05,0.566
1.041,0.568
1.041,0.582
1.034,0.58
1.038,0.567
1.043,0.544
1.044,0.575
1.039,0.615
1.032,0.614
1.077,0.483
1.073,0.455
1.07,0.448
1.073,0.422
1.086,0.387
1.084,0.396
1.089,0.394
1.087,0.422
1.084,0.455
1.094,0.492
1.119,0.536
1.134,0.635
1.134,0.742
1.119,0.843
1.122,0.899
1.11,0.972
1.086,1.024
1.082,1.066
1.08,1.081
1.085,1.062
1.1,1.066
1.093,1.092
1.087,1.115
1.072,1.181
1.078,1.153
1.075,1.136
1.065,1.128
1.058,1.099
1.048,1.053
1.047,1.035
1.056,0.996
1.051,0.991
1.05,0.98
1.042,0.954
1.042,0.929
1.034,0.917
1.038,0.875
1.043,0.853
1.044,0.904
1.039,0.953
1.035,0.982
1.569,1.835
1.498,1.064
1.101,0.828
1.1,0.747
1.074,0.743
1.067,0.651
1.067,0.59
1.064,0.513
1.054,0.415
1.039,0.275
1.042,0.235
1.045,0.192
1.054,0.124
1.072,0.148
1.06,0.121
1.079,0.427
1.069,0.427
1.072,0.429
1.076,0.412
1.089,0.375
1.09,0.365
1.092,0.357
1.087,0.362
1.093,0.338
1.102,0.373
1.125,0.341
1.152,0.343
1.143,0.373
1.118,0.415
1.128,0.545
1.11,0.586
1.095,0.623
1.1,0.635
1.102,0.633
1.099,0.641
1.109,0.661
1.098,0.712
1.088,0.748
1.078,0.774
1.086,0.788
1.083,0.8
1.075,0.826
1.064,0.804
1.055,0.777
1.057,0.725
1.059,0.663
1.058,0.644
1.057,0.61
1.053,0.576
1.051,0.542
1.044,0.513
1.043,0.485
1.043,0.46
1.04,0.433
1.039,0.539
1.037,0.543
1.106,0.048
1.107,0.05
1.104,0.053
1.111,0.05
1.145,0.046
1.131,0.043
1.132,0.075
1.134,0.108
1.145,0.195
1.158,0.263
1.177,0.35
1.189,0.454
1.204,0.585
1.145,0.703
1.144,0.73
1.116,0.708
1.101,0.677
1.113,0.649
1.099,0.627
1.097,0.612
1.106,0.625
1.093,0.634
1.09,0.68
1.073,0.798
1.078,0.768
1.083,0.755
1.072,0.737
1.063,0.691
1.049,0.64
1.049,0.609
1.056,0.55
1.051,0.52
1.051,0.516
1.043,0.496
1.043,0.47
1.034,0.393
1.038,0.328
1.043,0.279
1.043,0.324
1.036,0.375
1.029,0.406
1.106,0.131
1.121,0.107
1.133,0.103
1.117,0.169
1.12,0.34
1.088,0.518
1.09,0.588
1.088,0.627
1.071,0.666
1.06,0.649
1.048,0.596
1.047,0.557
1.055,0.479
1.05,0.444
1.05,0.413
1.041,0.435
1.041,0.419
1.034,0.382
1.038,0.356
1.043,0.312
1.043,0.295
1.037,0.376
1.03,0.397
1.081,0.124
1.078,0.108
1.074,0.088
1.083,0.12
1.106,0.18
1.096,0.22
1.094,0.25
1.099,0.197
1.096,0.211
1.099,0.21
1.131,0.209
1.158,0.22
1.156,0.254
1.136,0.267
1.125,0.291
1.111,0.306
1.085,0.311
1.095,0.333
1.091,0.333
1.088,0.34
1.099,0.352
1.09,0.36
1.086,0.398
1.068,0.462
1.072,0.494
1.075,0.554
1.063,0.58
1.056,0.593
1.046,0.594
1.046,0.588
1.054,0.573
1.049,0.569
1.049,0.588
1.041,0.629
1.041,0.65
1.034,0.664
1.038,0.636
1.043,0.638
1.042,0.675
1.036,0.773
1.031,0.785
1.083,0.068
1.08,0.064
1.079,0.064
1.093,0.06
1.104,0.067
1.085,0.099
1.078,0.107
1.061,0.119
1.057,0.133
1.074,0.14
1.085,0.149
1.101,0.167
1.09,0.183
1.08,0.194
1.079,0.198
1.069,0.204
1.059,0.204
1.061,0.211
1.065,0.216
1.069,0.209
1.087,0.212
1.085,0.195
1.078,0.188
1.065,0.207
1.069,0.205
1.069,0.209
1.062,0.227
1.056,0.24
1.046,0.248
1.045,0.352
1.053,0.347
1.048,0.33
1.048,0.336
1.041,0.355
1.04,0.367
1.034,0.395
1.038,0.396
1.042,0.387
1.04,0.387
1.032,0.438
1.027,0.444
1.215,0.936
1.205,0.772
1.164,0.374
1.127,0.388
1.149,0.48
1.185,0.405
1.158,0.471
1.158,0.477
1.166,0.627
1.233,0.976
1.207,1.032
1.17,1.048
1.144,1.081
1.099,1.052
1.085,1.037
1.063,1.036
1.061,1.089
1.053,1.063
1.051,1.098
1.043,1.065
1.043,1.088
1.036,1.109
1.041,1.08
1.045,1.063
1.048,1.097
1.052,1.268
1.091,1.44
1.08,0.12
1.08,0.121
1.08,0.108
1.08,0.186
1.08,0.267
1.08,0.346
1.08,0.259
1.08,0.271
1.08,0.263
1.08,0.503
1.08,0.507
1.08,0.488
1.08,0.586
1.08,0.559
1.094,1.09
1.103,1.105
1.104,1.343
1.104,1.256
1.104,1.233
1.104,1.483
1.104,1.74
1.104,2.09
1.104,1.336
1.104,1.287
1.104,1.43
1.231,1.447
1.272,1.249
1.356,1.179
1.296,0.907
1.203,0.844
1.16,1.058
1.148,0.681
1.153,0.682
1.12,0.702
1.113,0.716
1.117,0.7
1.113,0.544
1.079,0.369
1.077,0.25
1.079,0.631
1.071,0.614
1.068,0.609
1.082,0.557
1.066,0.581
1.071,0.619
1.067,0.613
1.082,0.682
1.091,0.729
1.073,0.726
1.077,0.462
1.068,0.531
1.05,0.557
1.072,0.589
1.056,0.563
1.055,0.531
1.047,0.479
1.043,0.434
1.053,0.41
1.053,0.459
1.052,0.421
1.044,0.408
1.039,0.345
1.037,0.254
1.043,0.301
1.05,0.293
1.043,0.717
1.043,0.999
1.035,1.156
1.05,0.382
1.056,0.376
1.056,0.372
1.057,0.341
1.06,0.289
1.063,0.295
1.063,0.326
1.063,0.303
1.064,0.312
1.065,0.324
1.067,0.31
1.072,0.3
1.076,0.34
1.08,0.315
1.086,0.324
1.09,0.34
1.07,0.436
1.077,0.411
1.08,0.408
1.078,0.393
1.069,0.421
1.078,0.366
1.098,0.622
1.085,0.597
1.095,0.559
1.123,0.521
1.168,0.655
1.146,0.724
1.155,0.776
1.113,0.741
1.128,0.765
1.15,0.826
1.153,0.844
1.172,0.898
1.17,0.872
1.139,0.965
1.146,1.016
1.126,1.03
1.111,1.097
1.113,1.124
1.095,1.083
1.089,0.977
1.101,0.877
1.092,0.855
1.091,0.836
1.077,0.833
1.079,0.798
1.083,0.73
1.073,0.655
1.063,0.582
1.048,0.488
1.047,0.44
1.055,0.348
1.05,0.309
1.05,0.279
1.041,0.269
1.041,0.254
1.033,0.236
1.038,0.203
1.043,0.198
1.045,0.277
1.052,0.46
1.057,0.546
1.09,0.309
1.083,0.345
1.075,0.381
1.074,0.409
1.099,0.413
1.115,0.482
1.131,0.484
1.146,0.506
1.137,0.56
1.141,0.55
1.153,0.535
1.194,0.565
1.202,0.612
1.183,0.676
1.156,0.725
1.137,0.795
1.115,0.841
1.106,0.885
1.109,0.909
1.128,0.937
1.135,0.963
1.133,0.991
1.133,1.031
1.112,1.13
1.105,1.201
1.122,1.198
1.094,1.193
1.069,1.163
1.049,1.13
1.047,1.11
1.056,1.059
1.052,1.054
1.05,1.022
1.042,0.993
1.043,1.038
1.036,1.058
1.04,1.065
1.045,1.035
1.047,1.061
1.043,1.158
1.04,1.175
1.072,0.085
1.073,0.094
1.067,0.127
1.073,0.117
1.093,0.117
1.092,0.154
1.087,0.196
1.073,0.248
1.061,0.305
1.077,0.35
1.092,0.396
1.087,0.414
1.081,0.448
1.074,0.487
1.068,0.5
1.063,0.507
1.049,0.547
1.042,0.565
1.043,0.545
1.051,0.511
1.074,0.494
1.065,0.481
1.049,0.5
1.037,0.555
1.037,0.597
1.025,0.659
1.022,0.703
1.017,0.753
1.011,0.867
1.018,0.983
1.017,1.065
1.013,1.22
1.013,1.309
1.01,1.367
1.015,1.507
1.014,1.621
1.017,1.64
1.017,1.626
1.014,1.676
1.013,1.838
1.012,1.891
1.064,0.563
1.051,0.499
1.065,0.433
1.064,0.371
1.069,0.35
1.077,0.389
1.056,0.398
1.051,0.383
1.035,0.493
1.035,0.471
1.036,0.451
1.041,0.457
1.036,0.438
1.04,0.422
1.036,0.415
1.037,0.414
1.036,0.533
1.035,0.508
1.112,0.533
1.096,0.596
1.076,0.532
1.084,0.571
1.099,0.549
1.102,0.519
1.101,0.455
1.089,0.52
1.069,0.491
1.517,0.504
1.328,0.382
1.214,0.311
1.201,0.301
1.158,0.27
1.103,0.258
1.101,0.275
1.09,0.251
1.095,0.233
1.094,0.218
1.084,0.191
1.078,0.2
1.083,0.245
1.08,0.282
1.071,0.277
1.089,0.775
1.071,0.734
1.07,0.758
1.071,0.731
1.07,0.775
1.062,0.758
1.057,0.716
1.054,0.686
1.04,0.656
1.037,0.536
1.043,0.465
1.09,0.842
1.09,0.88
1.09,0.688
1.09,0.639
1.09,0.527
1.09,0.286
1.12,0.118
1.12,0.128
1.12,0.116
1.12,0.155
1.12,0.163
1.082,0.496
1.073,0.473
1.069,0.447
1.079,0.416
1.098,0.397
1.088,0.396
1.09,0.387
1.081,0.381
1.077,0.414
1.088,0.429
1.102,0.454
1.116,0.492
1.101,0.546
1.086,0.605
1.083,0.646
1.073,0.694
1.063,0.71
1.064,0.73
1.064,0.755
1.072,0.756
1.089,0.758
1.087,0.754
1.081,0.762
1.064,0.772
1.069,0.741
1.069,0.761
1.062,0.741
1.056,0.682
1.046,0.657
1.046,0.611
1.054,0.538
1.05,0.507
1.049,0.505
1.041,0.52
1.041,0.526
1.034,0.527
1.038,0.487
1.043,0.455
1.042,0.582
1.037,0.622
1.03,0.674
1.063,0.236
1.064,0.243
1.063,0.261
1.062,0.264
1.071,0.262
1.073,0.276
1.073,0.294
1.074,0.348
1.085,0.356
1.086,0.386
1.103,0.34
1.123,0.298
1.132,0.26
1.129,0.208
1.122,0.232
1.126,0.258
1.135,0.34
1.136,0.265
1.13,0.255
1.108,0.254
1.107,0.224
1.099,0.229
1.098,0.272
1.065,0.354
1.071,0.33
1.068,0.308
1.059,0.276
1.051,0.247
1.054,0.222
1.054,0.209
1.064,0.193
1.063,0.181
1.063,0.19
1.045,0.213
1.036,0.184
1.033,0.172
1.039,0.125
1.048,0.117
1.043,0.138
1.033,0.261
1.028,0.265
1.133,0.694
1.143,0.712
1.14,0.592
1.13,0.64
1.18,0.661
1.123,0.708
1.118,0.646
1.134,0.657
1.087,0.71
1.087,0.777
1.103,0.782
1.087,0.714
1.074,0.638
1.053,0.558
1.107,0.372
1.074,0.419
1.058,0.459
1.069,0.46
1.052,0.475
1.052,0.478
1.055,0.449
1.061,0.47
1.061,0.477
1.053,0.17
1.057,0.161
1.06,0.141
1.055,0.118
1.097,0.091
1.108,0.074
1.162,0.068
1.167,0.063
1.167,0.08
1.167,0.101
1.168,0.114
1.192,0.127
1.215,0.09
1.207,0.132
1.158,0.14
1.151,0.158
1.141,0.184
1.149,0.212
1.154,0.238
1.145,0.253
1.138,0.296
1.112,0.336
1.105,0.354
1.115,0.359
1.086,0.392
1.064,0.394
1.049,0.329
1.048,0.294
1.056,0.541
1.052,0.56
1.05,0.587
1.042,0.602
1.041,0.63
1.034,0.682
1.039,0.698
1.044,0.692
1.045,0.712
1.042,0.811
1.054,0.861
1.072,0.198
1.071,0.213
1.077,0.299
1.097,0.355
1.073,0.377
1.045,0.898
1.044,0.841
1.036,0.971
1.035,0.991
1.029,1.043
1.032,1.007
1.029,0.994
1.034,0.934
1.029,0.93
1.028,0.981
1.024,1.146
1.133,0.097
1.16,0.098
1.158,0.104
1.16,0.116
1.169,0.13
1.165,0.177
1.134,0.304
1.114,0.352
1.128,0.363
1.117,0.367
1.137,0.331
1.147,0.345
1.124,0.36
1.117,0.361
1.102,0.394
1.1,0.487
1.113,0.488
1.087,0.522
1.064,0.558
1.048,0.557
1.047,0.508
1.055,0.484
1.051,0.451
1.05,0.428
1.041,0.395
1.041,0.379
1.034,0.351
1.038,0.317
1.043,0.292
1.044,0.329
1.04,0.452
1.043,0.484
1.074,0.174
1.072,0.173
1.073,0.178
1.074,0.186
1.078,0.195
1.088,0.203
1.093,0.195
1.097,0.217
1.101,0.249
1.105,0.293
1.117,0.358
1.135,0.43
1.13,0.495
1.123,0.563
1.123,0.594
1.131,0.636
1.103,0.616
1.117,0.582
1.113,0.523
1.112,0.467
1.132,0.422
1.107,0.428
1.1,0.483
1.086,0.646
1.097,0.745
1.102,0.8
1.08,0.804
1.066,0.784
1.05,0.763
1.05,0.691
1.054,0.608
1.051,0.497
1.053,0.479
1.046,0.489
1.044,0.479
1.034,0.478
1.037,0.438
1.042,0.381
1.039,0.354
1.033,0.383
1.029,0.348
1.058,0.059
1.053,0.057
1.05,0.053
1.056,0.05
1.072,0.058
1.064,0.075
1.05,0.13
1.041,0.133
1.033,0.135
1.035,0.141
1.048,0.132
1.056,0.125
1.048,0.119
1.045,0.117
1.043,0.151
1.041,0.145
1.041,0.139
1.052,0.125
1.067,0.123
1.064,0.132
1.055,0.157
1.041,0.192
1.052,0.21
1.037,0.22
1.036,0.24
1.031,0.253
1.027,0.277
1.036,0.254
1.036,0.256
1.036,0.248
1.024,0.282
1.028,0.283
1.024,0.281
1.02,0.281
1.025,0.252
1.031,0.232
1.022,0.225
1.02,0.206
1.017,0.215
1.085,0.22
1.089,0.224
1.093,0.228
1.133,0.237
1.13,0.221
1.131,0.244
1.139,0.271
1.111,0.289
1.124,0.306
1.121,0.368
1.091,0.401
1.075,0.388
1.075,0.303
1.081,0.237
1.106,0.18
1.108,0.141
1.108,0.114
1.108,0.091
1.108,0.067
1.108,0.051
1.108,0.042
1.108,0.102
1.103,0.24
1.067,0.29
1.066,0.297
1.055,0.303
1.048,0.331
1.035,0.293
1.049,0.292
1.05,0.272
1.054,0.255
1.046,0.242
1.046,0.288
1.039,0.294
1.065,0.51
1.065,0.444
1.065,0.396
1.065,0.437
1.065,0.375
1.065,0.355
1.065,0.371
1.076,0.393
1.088,0.486
1.088,0.524
1.089,0.535
1.115,0.473
1.13,0.477
1.131,0.452
1.152,0.485
1.173,0.58
1.174,0.594
