1000000.00,1000000.00,1.06,1.14,1.04,1.21,1.08,1.06,1.14,1.02,1.01,1.02
0.90,1.07,1.05,1.06,1.08,1.03,1.04,1.03,1.01,1.01,1.02,1.03
1.01,1.04,1.02,1.03,1.02,1.02,1.04,1.03,1.03,1.03,1.04,1.04
1000000.00,1000000.00,1000000.00,1000000.00,1000000.00,1000000.00,1000000.00,1000000.00,1000000.00,1000000.00,1000000.00,1000000.00
1.04,1.01,1.05,1.00,0.91,0.96,0.95,0.95,0.98,1.00,1000000.00,1000000.00
1.00,1.03,1.21,1.23,1.14,1.02,1.03,1.04,1.05,1.07,1.05,1.03
1.03,1.05,1.13,1.09,1.00,0.88,0.93,0.98,1.04,1.00,1.05,1.04
0.98,0.99,1.08,1.08,1.03,1.00,1.09,1.08,1.01,1.03,1.00,1000000.00
1000000.00,1.06,1.13,1.14,1.07,0.86,1.02,1.05,1.07,1.03,1.03,1.03
1000000.00,1.00,1.02,0.96,0.93,0.94,1000000.00,1000000.00,1000000.00,1000000.00,1000000.00,1000000.00
1.04,1.04,1.03,1.04,1.04,1.02,1.02,1.02,1.04,1.02,1.02,1.02
1.04,1.03,1.03,1.04,1.02,0.96,1.02,1.03,1.01,1.00,1.00,1.01
1000000.00,1.11,1.34,1.25,1.11,1.09,1.05,1.00,1.02,1.06,1.02,1.01
0.98,1.04,1.03,1.01,0.98,0.96,1.02,1.01,1.02,1.00,1.01,1.01
1.04,1.05,1.06,1.08,1.06,1.03,1.04,1.02,1.04,1.05,1.04,1.03
1.06,1.05,1.07,1.07,1.06,1.05,1.06,1.06,1.07,1.06,1.06,1.07
0.97,1.05,1.06,1.02,1.00,0.96,1.00,1.01,1.00,1.00,1.00,1.01
1000000.00,1.06,1.10,1.09,1.10,1.00,1.08,1.06,1.02,1.01,1.02,0.96
1.03,1.04,1.02,1.03,1.01,0.98,1.03,1.02,1.00,1.00,1.01,1.01
1.11,1.13,1.05,1.01,1.03,1.01,1.03,1.02,1.04,1.01,1.04,1.02
1.09,1.06,1.04,1.06,1.05,1.02,1.02,1.03,1.05,1.07,1.07,1.05
1.00,1.09,1.06,1.03,1.02,0.95,0.98,0.97,0.95,0.97,1000000.00,1000000.00
1.11,1.07,1.07,1.18,1.05,1.07,1.12,1.08,1.05,1.02,1.05,1.03
1.05,1.03,1.05,1.05,1.06,1.03,1.04,1.05,1.05,1.07,1.05,1.04
1000000.00,1.06,1.05,1.06,1.05,0.97,1.01,1.01,0.99,1.02,1.01,1.03
1.07,1.02,1.08,1.08,1.06,0.92,1.09,1.06,1.04,1.10,1.03,1.00
0.97,1.04,1.04,1.06,1.05,1.00,1.08,1.04,1.02,1.03,1.00,0.96
1000000.00,1000000.00,1000000.00,1000000.00,1000000.00,1000000.00,1000000.00,1000000.00,1000000.00,1000000.00,1000000.00,1000000.00
1.01,1.03,1.04,1.00,0.98,0.98,1.03,1.03,1.01,0.98,0.98,1.00
0.91,1.05,1.07,1.08,1.06,0.96,1.00,1.02,1.00,1.01,1.02,1.03
0.99,1.02,1.06,1.06,1.07,1.03,1.08,1.07,1.06,1.04,1.04,1.04
1.03,0.99,1.05,1.05,1.05,1.03,1.04,1.04,1.04,1.05,1.05,0.97
1.01,1.14,1.08,1.15,1.07,0.99,1.01,1.04,1.01,1.01,1.03,1.03
1000000.00,1.09,1.11,1.10,1.07,1.00,1.06,1.07,1.07,1.07,1.07,1.07
0.94,1.04,1.03,1.03,1.03,1.02,1.03,1.04,1.05,1.06,1.06,1.06
1.00,1.05,1.03,1.02,1.01,0.97,1.03,1.03,1.02,1.02,1.02,1.01
1000000.00,1000000.00,1000000.00,1000000.00,1000000.00,1000000.00,1000000.00,1000000.00,1000000.00,1000000.00,1000000.00,1000000.00
0.98,0.98,1.04,1.05,1.02,1.02,1.03,1.03,1.03,0.63,0.99,1.05
0.96,0.99,1.01,1.03,1.03,1.04,1.14,1.00,1.09,1.06,1.07,1.02
1000000.00,1.06,1.05,1.06,1000000.00,1000000.00,1000000.00,1000000.00,1000000.00,1000000.00,1000000.00,1000000.00
1.04,1.04,1.04,1.05,1.03,0.99,1.06,1.06,1.05,1.04,1.02,1.02
1.04,1.08,1.13,1.14,1.10,1.09,1.11,1.09,1.08,1.08,1.07,1.07
1.06,1.04,1.07,1.07,1.04,1.02,1.04,1.07,1.04,1.05,1.04,1.03
1.05,1.11,1.03,1.01,1.00,1.02,1.02,1.03,1.03,1.03,1.02,1000000.00
0.93,0.93,1.05,1.06,1.06,1.03,1.07,1.07,1.07,1.09,1.09,1.07
1.01,1.08,1.06,0.98,1.06,1.07,1.09,1.03,1.04,1.03,1.07,1.03
1.04,1.02,1.09,1.08,1.03,0.99,1.05,1.05,1.05,1.03,1.04,1.03
0.99,0.98,1.02,1.02,1.03,1.03,1.02,0.96,1.11,1.09,1.09,1.08
1000000.00,1.04,1.05,1.05,1.02,0.93,0.98,1.00,0.98,0.99,1.00,1.02
0.97,1.06,1.12,1.07,1.04,1.01,1.02,1.03,1.03,1.03,1000000.00,1000000.00
1000000.00,1000000.00,1000000.00,1000000.00,1000000.00,1000000.00,1000000.00,1000000.00,1000000.00,1000000.00,1000000.00,1000000.00
1.07,1.06,1.05,1.05,1.04,0.98,1.01,1.00,0.98,0.94,0.98,1.02
1000000.00,1.04,1.07,1.06,1.03,0.95,1.02,1.02,0.99,0.99,1.02,1.04
1.02,1.04,1.04,1.01,0.99,0.95,1.02,1.01,1.00,1.00,1.01,1.01
1000000.00,1.00,1.05,1.05,1.06,1.05,1.03,1.04,1.05,1.05,1.06,1000000.00
1.05,1.00,1.03,1.06,1.07,0.99,1.01,1.00,0.99,1.01,1.04,1.03
0.95,1.06,1.11,1.08,1.03,1.01,1.08,1.03,1.03,1.05,1.07,1.07
